PersonX doesn't understand what it means  xAttr  [GEN]	ignorant	1
PersonX borrows a toy  xReact  [GEN]	guilty	2
PersonX and PersonY form a mutual contract  xEffect  [GEN]	and PersonY are happy	1
PersonX befriends a baby  xIntent  [GEN]	to help a baby	1
PersonX reads a text  xWant  [GEN]	to read more	1
PersonX brings back water  xEffect  [GEN]	makes some friends	1
PersonX has a friend over for dinner  HinderedBy  [GEN]	PersonX is in a coma	1
PersonX gets a car  xEffect  [GEN]	is proud of his mother	1
PersonX visits a sick friend  xIntent  [GEN]	to help people	1
PersonX writes a beautiful poem  HinderedBy  [GEN]	PersonX is a horrible poet	1
PersonX writes the blog post  xIntent  [GEN]	to have a voice	1
PersonX has been considered PersonY's best friend  xIntent  [GEN]	to be a good friend	1
PersonX learns a new job  xAttr  [GEN]	intelligent	1
PersonX considers the other person's needs  xIntent  [GEN]	to help out the other person	1
PersonX severs relations with PersonY  xReact  [GEN]	upset	1
PersonX learns of a storm  HinderedBy  [GEN]	PersonX is too afraid to fly on a stormy day	1
PersonX is a big fan of ice hockey  HinderedBy  [GEN]	PersonX is allergic to ice	1
PersonX throws down PersonY's gauntlet  HinderedBy  [GEN]	PersonX is afraid to throw the gauntlet	1
PersonX works out at the gym  xAttr  [GEN]	energetic	1
PersonX writes notes  HinderedBy  [GEN]	PersonX is on vacation	1
PersonX has never had a Christmas like this  xEffect  [GEN]	is bored	1
PersonX sees PersonY's future  xNeed  [GEN]	to have seen PersonY	1
PersonX and PersonY form a mutual contract  xNeed  [GEN]	to have a relationship with PersonY	1
PersonX waits for PersonY to come back  xIntent  [GEN]	to see PersonY back	1
PersonX wants to give up smoking  HinderedBy  [GEN]	PersonX is afraid of smoking	2
PersonX bares PersonY's heart  xWant  [GEN]	to fight PersonY	2
PersonX stomps his feet  xIntent  [GEN]	to be sure of his abilities	1
PersonX promises it will be a success  HinderedBy  [GEN]	PersonX can't find the words to tell the promise	1
PersonX organizes others to work  xIntent  [GEN]	to have people around	1
PersonX visits the elderly  xEffect  [GEN]	learns about people in the house	2
PersonX becomes friendlier  HinderedBy  [GEN]	PersonX doesn't talk to PersonX	2
PersonX explains the puzzle  xReact  [GEN]	proud	1
PersonX disappears for a few minutes  xIntent  [GEN]	to get away from her problems	1
PersonX can't hold back  xIntent  [GEN]	to be successful	1
PersonX helps PersonY do homework  HinderedBy  [GEN]	PersonX doesn't know how to do homework	1
PersonX is too drunk to walk  xAttr  [GEN]	irresponsible	1
PersonX makes it to the first five  HinderedBy  [GEN]	PersonX is injured	1
PersonX promises it will be a success  xIntent  [GEN]	to keep his promise	1
PersonX asks PersonY to help out  xEffect  [GEN]	gets to spend time with PersonY	1
PersonX stops for a haircut  xReact  [GEN]	pleased	1
PersonX can't hold back  HinderedBy  [GEN]	PersonX is too shy to speak in public	1
PersonX listens to The Beatles  xAttr  [GEN]	a song and dance artist	1
PersonX finds PersonY's jacket  xEffect  [GEN]	is happy to see PersonY	1
PersonX continues to offer PersonY resistance  xNeed  [GEN]	to do something to stop PersonY from being hostile	1
PersonX studies different opinions  xNeed  [GEN]	to read different books	1
PersonX meets a person in church  xNeed  [GEN]	to go to a religious event	1
PersonX gets on the bus with PersonY  xIntent  [GEN]	to be with PersonY	1
PersonX grows grass  HinderedBy  [GEN]	PersonX is afraid of grass	1
PersonX and PersonY embrace each other  xReact  [GEN]	safe and happy	1
PersonX wakes up in the bathtub  xEffect  [GEN]	loses his sense of humor	2
PersonX sits on the cat  xReact  [GEN]	calm	2
PersonX cannot tell how to solve a math problem  xWant  [GEN]	to be able to solve problems	1
PersonX is self-sufficient  xIntent  [GEN]	to be independent	1
PersonX learns to live with her misfortune  xWant  [GEN]	to be loved	1
PersonX puts down roots  xEffect  [GEN]	has a new life	1
PersonX reads PersonY's books  xAttr  [GEN]	smart	1
PersonX tells PersonY to trust her  xAttr  [GEN]	trustworthy	1
PersonX cuts her finger off with scissors  xIntent  [GEN]	to be able to see the result	1
PersonX and PersonY paint the wall  HinderedBy  [GEN]	PersonX is too tired to paint the wall	1
PersonX wants to give up smoking  xReact  [GEN]	pleased	1
PersonX and PersonY go to the garden  HinderedBy  [GEN]	PersonX is sick	1
PersonX checks the garage  xWant  [GEN]	to fix the work	2
PersonX travels without a suitcase  HinderedBy  [GEN]	PersonX has a suitcase	2
PersonX cuts her finger off with scissors  xAttr  [GEN]	a pain in the neck	1
PersonX carves a totem pole  xIntent  [GEN]	to be creative	1
PersonX looks at rabbits  xReact  [GEN]	interested	1
PersonX finds a solution  xEffect  [GEN]	is thanked by God	1
PersonX shouts at the audience  xAttr  [GEN]	a leader	1
PersonX remembers how PersonY smiled  xIntent  [GEN]	to know how PersonY smiled	1
PersonX hires the hitman  xNeed  [GEN]	to have a specific job	1
PersonX feels obligated to do it  xEffect  [GEN]	does it	1
PersonX tries out a new dance step  xWant  [GEN]	to dance better	1
PersonX tells PersonY she is a bad mother  xReact  [GEN]	hurt	2
PersonX devises a new experiment  xWant  [GEN]	to try his stuff	1
PersonX helps PersonY with her jacket  xWant  [GEN]	to get PersonY a jacket	1
PersonX and PersonY share milk  xIntent  [GEN]	to be nice to PersonY	1
PersonX doesn't get involved  xIntent  [GEN]	to be just like his friends	1
PersonX throws down PersonY's gauntlet  xReact  [GEN]	powerful	1
PersonX devises a new experiment  xReact  [GEN]	brave	1
PersonX won't sit down  xIntent  [GEN]	to be more independent	1
PersonX is obliged to go on a mission  xEffect  [GEN]	is thanked by his friends	1
PersonX has to listen to nonsense  HinderedBy  [GEN]	PersonX is too busy to listen	1
PersonX is easily flattered  xEffect  [GEN]	is jealous	1
PersonX wears an orange shirt  HinderedBy  [GEN]	PersonX wears an orange jacket	2
PersonX is ranting  xReact  [GEN]	guilty	1
PersonX is an honorable member of society  xEffect  [GEN]	is accepted by society	1
PersonX buys a boombox  xWant  [GEN]	to go boomboxing	1
PersonX causes something  xEffect  [GEN]	is accused of being a fraud	2
PersonX's mother makes PersonX a cake  HinderedBy  [GEN]	PersonX's mother is mad at PersonX	2
PersonX has been tortured  xEffect  [GEN]	is in a coma	1
PersonX remains steadfast in friendship  xEffect  [GEN]	remains nice to others	1
PersonX notices PersonY's injuries  xAttr  [GEN]	observant	1
PersonX cooks PersonY some food  xEffect  [GEN]	is thanked by PersonY	1
PersonX is almost at the edge  xEffect  [GEN]	gets dizzy	1
PersonX shows how PersonY can improve  xReact  [GEN]	pleased	1
PersonX helps PersonY with her jacket  xNeed  [GEN]	to be there	1
PersonX wakes up in the bathtub  xNeed  [GEN]	to be close to the pool	2
PersonX reads PersonY's books  xIntent  [GEN]	to learn more about PersonY	1
PersonX wears a suit  xNeed  [GEN]	to be in the class	2
PersonX wants to start a business  xAttr  [GEN]	bold	1
PersonX thinks it's necessary  xAttr  [GEN]	responsible	1
PersonX talks to her parents about her future  HinderedBy  [GEN]	PersonX is afraid to tell her parents about her future	1
PersonX goes shopping with the kids  xWant  [GEN]	to buy something	1
PersonX gives out advice  xAttr  [GEN]	a good listener	1
PersonX wears new shoes to work  xReact  [GEN]	happy	1
PersonX tells PersonY that PersonY is a hero  xIntent  [GEN]	to share PersonY's story	1
PersonX is falling behind  xWant  [GEN]	to be up to speed	1
PersonX cuts her finger off with scissors  xWant  [GEN]	to see a doctor	1
PersonX fixes the place  xIntent  [GEN]	to make the place better	1
PersonX ogles at PersonY  xWant  [GEN]	to talk to PersonY	1
PersonX learns of a storm  xAttr  [GEN]	observant	1
PersonX hires a boat  xWant  [GEN]	to go on a boat	1
PersonX pulls PersonY back  xAttr  [GEN]	a good friend	1
PersonX watches a basketball game  xIntent  [GEN]	to spend time with his friends	1
PersonX gets a job  xWant  [GEN]	to do more work	1
PersonX has moved on to PersonY  xIntent  [GEN]	to stay with PersonY	1
PersonX spends a lot of time on  xEffect  [GEN]	is happy	2
PersonX sits in the car and thinks  xWant  [GEN]	to buy a car	1
PersonX is growing too tall  xWant  [GEN]	to be small	1
PersonX can do this  xReact  [GEN]	competent	1
PersonX promises it will be a success  xNeed  [GEN]	to be happy about the project	1
PersonX has been considered PersonY's best friend  xEffect  [GEN]	has been invited to PersonY's wedding	1
PersonX attends PersonY's retirement  HinderedBy  [GEN]	PersonX can't find PersonY's old address	1
PersonX lies to everyone  xEffect  [GEN]	is caught	1
PersonX travels to Mexico  HinderedBy  [GEN]	PersonX is sick	1
PersonX says something insensitive  xAttr  [GEN]	insensitive	1
PersonX decides to go anyway  xIntent  [GEN]	to make a good impression	1
PersonX hires the hitman  xAttr  [GEN]	ambitious	1
PersonX starts over  xWant  [GEN]	to be a real person	2
PersonX avoids an accident  xAttr  [GEN]	neat	1
PersonX uses contraception  HinderedBy  [GEN]	PersonX is too young to practice contraception	1
PersonX likes to write  xIntent  [GEN]	to prove that he has written	2
PersonX gets tickets to the concert  xAttr  [GEN]	outgoing	1
PersonX buys a Mercedes  HinderedBy  [GEN]	PersonX can't afford a car	1
PersonX listens to The Beatles  xEffect  [GEN]	likes the Beatles	1
PersonX evades the burglars  xEffect  [GEN]	is left in the cold	1
PersonX and PersonY agree on a price  xIntent  [GEN]	to buy a product	1
PersonX agrees to send PersonY an e-mail  xIntent  [GEN]	to help PersonY	1
PersonX leaves his place for the airport  HinderedBy  [GEN]	PersonX is afraid to go on a trip	1
PersonX does not perform well  xEffect  [GEN]	is fired	1
PersonX doesn't get love  xReact  [GEN]	disappointed	1
PersonX murders PersonY's wife  xWant  [GEN]	to get away with it	1
PersonX helps PersonY do homework  xReact  [GEN]	competent	1
PersonX sees a friend in the market  xIntent  [GEN]	to learn more about the market	1
PersonX becomes wise to PersonY's ways  xAttr  [GEN]	wise	1
PersonX drives an Oldsmobile  HinderedBy  [GEN]	PersonX can't find the engine	1
PersonX makes shoes  xEffect  [GEN]	is pleased	1
PersonX talks to the man  xIntent  [GEN]	to be more open	1
PersonX is self-sufficient  xReact  [GEN]	strong	1
PersonX reminds PersonY of what he did  HinderedBy  [GEN]	PersonX can't remember what he did	1
PersonX uses an opportunity  HinderedBy  [GEN]	PersonX has a bad memory	1
PersonX calls personY's agent  xIntent  [GEN]	to be a good friend	1
PersonX knows who he is  xNeed  [GEN]	to know who he was	1
PersonX controls her  xNeed  [GEN]	to have control over her	1
PersonX rides the cable car  xReact  [GEN]	free	1
PersonX considers the problem  xWant  [GEN]	to solve the problem	1
PersonX performs a survey  xIntent  [GEN]	to be prepared for the test	1
PersonX is reasonable on PersonY's asking  HinderedBy  [GEN]	PersonX doesn't like PersonY	1
PersonX understands the target  xAttr  [GEN]	smart	1
PersonX becomes wise to PersonY's ways  xIntent  [GEN]	to be respected by PersonY	1
PersonX accepts a drink  HinderedBy  [GEN]	PersonX can't drink	1
PersonX seems to hear PersonY  xWant  [GEN]	to talk to PersonY	1
PersonX takes PersonY back to his hotel room  HinderedBy  [GEN]	PersonX is not allowed to go back to the hotel	1
PersonX wants to send a warning  HinderedBy  [GEN]	PersonX is too busy to send a warning	1
PersonX really gets rolling  xWant  [GEN]	to practice	1
PersonX wants to meet  xNeed  [GEN]	to be able to go to meet	1
PersonX turns to look  xAttr  [GEN]	attractive	1
PersonX and PersonY finally admitted it  xReact  [GEN]	relieved	1
PersonX finds time for reading  xReact  [GEN]	satisfied	1
PersonX leads the race  xNeed  [GEN]	to have an opinion	1
PersonX and PersonY pay bills  xNeed  [GEN]	to have money	1
PersonX is out of his mind  xWant  [GEN]	to get rid of his anger	1
PersonX has a fight with his dad  xNeed  [GEN]	to be upset with his dad	1
PersonX completes the ultimate goal  xEffect  [GEN]	is congratulated by his family	1
PersonX learns a new job  HinderedBy  [GEN]	PersonX can't find the job promotion application	1
PersonX gives you something  xAttr  [GEN]	thoughtful	1
PersonX goes shopping with the kids  xNeed  [GEN]	to be interested in cars	2
PersonX comes to an understanding  xReact  [GEN]	in control	1
PersonX wants to discover something  xWant  [GEN]	to find out what it is	1
PersonX writes the blog post  xWant  [GEN]	to be a writer	1
PersonX creates the world  HinderedBy  [GEN]	PersonX can't find the right place to start	1
PersonX helps PersonY lose weight  HinderedBy  [GEN]	PersonX is afraid to stop eating	1
PersonX seems to be trying to rescue PersonY  xEffect  [GEN]	is rescued by PersonY	2
PersonX adds a walkman to the list  xEffect  [GEN]	is thanked by the owner of the store	1
PersonX delivers his weekly lecture  xEffect  [GEN]	is praised by his students	1
PersonX buys PersonY a cell phone  xEffect  [GEN]	is happy with PersonY	1
PersonX remains steadfast in friendship  xReact  [GEN]	accepted	1
PersonX confronts fear  xEffect  [GEN]	feels relieved	1
PersonX fails to kill PersonY  xReact  [GEN]	guilty	1
PersonX threatens to tell everyone  HinderedBy  [GEN]	PersonX can't find the courage to tell everyone	1
PersonX buys PersonY's favorite drink  HinderedBy  [GEN]	PersonX can't find a pen to write the note	2
PersonX pours a drink for PersonY  xIntent  [GEN]	to make PersonY happy	1
PersonX kisses and hugs PersonY  xIntent  [GEN]	to be in the group	1
PersonX lies to the camera  xNeed  [GEN]	to be in a bad mood	2
PersonX accidentally steps on a crack  xReact  [GEN]	sorry	2
PersonX wants to start a business  xNeed  [GEN]	to need to have an idea	1
PersonX finds an engagement ring in the street  xIntent  [GEN]	to marry	2
PersonX can't deal with the pain  xReact  [GEN]	alone	1
PersonX gets a favour  xIntent  [GEN]	to get a promotion	2
PersonX enjoys hearing PersonY tell a story  xNeed  [GEN]	to be listening to PersonY	1
PersonX understands the target  xReact  [GEN]	happy	1
PersonX is growing too tall  HinderedBy  [GEN]	PersonX is not tall enough	1
PersonX walks out of class  xReact  [GEN]	nervous	1
PersonX announces the result  xIntent  [GEN]	to make a point	1
PersonX lies to the camera  xIntent  [GEN]	to be honest	2
PersonX shares stories with PersonY  xIntent  [GEN]	to share stories with PersonY	1
PersonX regrets the fight  xWant  [GEN]	to get revenge	2
PersonX goes to the lab  xWant  [GEN]	to study	1
PersonX decides to report a robbery  xAttr  [GEN]	brave	1
PersonX finally gets to his car  xAttr  [GEN]	good at driving	1
PersonX and PersonY leaves the country  HinderedBy  [GEN]	PersonX and PersonY are not leaving the country	1
PersonX gets a tooth pulled  xWant  [GEN]	to get a new tooth	1
PersonX does some legwork  xWant  [GEN]	to do more legwork	1
PersonX translates a chapter  xIntent  [GEN]	to be a good translator	1
PersonX finds something to drink  xReact  [GEN]	thirsty	2
PersonX pours a drink for PersonY  xEffect  [GEN]	is thanked by PersonY	1
PersonX sees PersonY's future  xEffect  [GEN]	is inspired by PersonY	1
PersonX has a pot of soup  xEffect  [GEN]	gets sunburned	2
PersonX grows in height  xAttr  [GEN]	tall	1
PersonX experiences uncertainty  xReact  [GEN]	disappointed	1
PersonX borrows a toy  xIntent  [GEN]	to play with the toy	1
PersonX has a freak-out  xAttr  [GEN]	crazy	1
PersonX wonders about doing it again  xAttr  [GEN]	worried	1
PersonX's home is robbed  xEffect  [GEN]	is upset	1
PersonX reveals that he plans to cut a deal  xAttr  [GEN]	wise	1
PersonX decides to go anyway  HinderedBy  [GEN]	PersonX is afraid to leave the house	1
PersonX stares at personY  HinderedBy  [GEN]	PersonX is not attracted to personY	1
PersonX does not like chewing gum  xReact  [GEN]	angry	2
PersonX has a bad accident  HinderedBy  [GEN]	PersonX has a good accident	2
PersonX comes to terms with the loss  xEffect  [GEN]	is happy	1
PersonX puts down roots  HinderedBy  [GEN]	PersonX is not in a hurry to start fresh	1
PersonX and PersonY form a mutual contract  HinderedBy  [GEN]	PersonX is mad at PersonY	1
PersonX stomps his feet  xAttr  [GEN]	clumsy	1
PersonX decides to not eat PersonY  xIntent  [GEN]	to keep her house clean	2
PersonX talks about art  xEffect  [GEN]	learns about art	1
PersonX loses his life  xEffect  [GEN]	is dead	1
PersonX has to work on Friday  xIntent  [GEN]	to finish on time	1
PersonX has a plan for every eventuality  xNeed  [GEN]	to have a plan	1
PersonX sees PersonY's future  xReact  [GEN]	excited	1
PersonX and PersonY cook some fish  xNeed  [GEN]	to be able to cook	1
PersonX consults an attorney  HinderedBy  [GEN]	PersonX can't find the phone to call the attorney	1
PersonX neglects to mention PersonY's presence  xWant  [GEN]	to ignore PersonY	1
PersonX disappears for a few minutes  xAttr  [GEN]	sneaky	1
PersonX changes clothes at home  HinderedBy  [GEN]	PersonX is too scared to change clothes	1
PersonX gives out PersonY's secret  xEffect  [GEN]	receives a reward	1
PersonX and PersonY finally admitted it  xIntent  [GEN]	to be forgiven	1
PersonX asks PersonY to pick up his last name  xAttr  [GEN]	polite	1
PersonX gives you something  xNeed  [GEN]	to be able to give you something	1
PersonX talks to the man  xAttr  [GEN]	friendly	1
PersonX teaches diligently  HinderedBy  [GEN]	PersonX can't take care of her	2
PersonX gives PersonY a list of reasons  xIntent  [GEN]	to know what PersonY thinks	1
PersonX considers the other person's needs  HinderedBy  [GEN]	PersonX is a coward	1
PersonX has been running for the last 20 minutes  xReact  [GEN]	exhausted	1
PersonX accepts PersonX's purpose  xWant  [GEN]	to be in PersonX's life	1
PersonX decides not to go on tour  xIntent  [GEN]	to avoid the problem	1
PersonX carries a sign  xIntent  [GEN]	to show people that he is not a coward	1
PersonX steals information  xEffect  [GEN]	is in trouble	1
PersonX says something insensitive  HinderedBy  [GEN]	PersonX is afraid to say something	1
PersonX admires the scenery  xIntent  [GEN]	to be happy	1
PersonX gets on the bus with PersonY  xEffect  [GEN]	gets to see PersonY again	1
PersonX pats the dog  xIntent  [GEN]	to show the dog how far he has been	2
PersonX remains as he is  xReact  [GEN]	pleased	1
PersonX enjoys solving puzzles  xAttr  [GEN]	a good player	1
PersonX thinks PersonY's idea is brilliant  xWant  [GEN]	to use PersonY's idea	1
PersonX listens to PersonY's comment  HinderedBy  [GEN]	PersonX is not listening to PersonY	1
PersonX drops everything to do this  xAttr  [GEN]	independent	1
PersonX offers a hand of friendship  xNeed  [GEN]	to be friendly	1
PersonX is thwarted by traffic  xAttr  [GEN]	clumsy	2
PersonX hides the money  xAttr  [GEN]	secretive	1
PersonX expects the unexpected  xAttr  [GEN]	optimistic	1
PersonX reads PersonY's books  HinderedBy  [GEN]	PersonX can't read	1
PersonX explains her fears  xEffect  [GEN]	learns to be sensitive	1
PersonX flies into the building  xReact  [GEN]	frightened	2
PersonX has trouble making it to class  xEffect  [GEN]	is still on the phone	2
PersonX spends a lot of time on  xReact  [GEN]	tired	1
PersonX is very good at her job  HinderedBy  [GEN]	PersonX is terrible at her job	1
PersonX has the right idea  xWant  [GEN]	to do the right thing	1
PersonX listens to the music in PersonY's car  xEffect  [GEN]	likes the music	1
PersonX sees PersonY's outfit  xWant  [GEN]	to know what it is	1
PersonX holds up a gun  xReact  [GEN]	safe	1
PersonX buys a boombox  xIntent  [GEN]	to be able to move around	1
PersonX answers her purpose  xEffect  [GEN]	makes a good impression	1
PersonX is a big fan of ice hockey  xReact  [GEN]	happy	1
PersonX backs out  xIntent  [GEN]	to avoid having to stay	2
PersonX is mistaken for the wife  xEffect  [GEN]	is divorced	2
PersonX looks PersonY up on the Internet  xIntent  [GEN]	to meet PersonY	1
PersonX and PersonY gets shot  xEffect  [GEN]	and PersonY are dead	1
PersonX looks at something quickly  HinderedBy  [GEN]	PersonX is in a coma	1
PersonX writes something for PersonY  xAttr  [GEN]	intelligent	1
PersonX arranges for transportation  xEffect  [GEN]	is able to travel	1
PersonX writes a list  xAttr  [GEN]	imaginative	1
PersonX spends the entire day with PersonY  xEffect  [GEN]	and PersonY have fun together	1
PersonX and PersonY suddenly fall in love  xIntent  [GEN]	to see PersonY as a friend	2
PersonX has an urge to run  xAttr  [GEN]	pushy	2
PersonX wants to send a warning  xReact  [GEN]	worried	1
PersonX tries pot  xWant  [GEN]	to get high	1
PersonX gets PersonY some water  HinderedBy  [GEN]	PersonX can't find the water	1
PersonX smiles through it all  xEffect  [GEN]	feels satisfied	1
PersonX talks to her parents about her future  xAttr  [GEN]	trustworthy	1
PersonX has never liked the rain  xEffect  [GEN]	is upset	1
PersonX promises to contact PersonY  HinderedBy  [GEN]	PersonX doesn't want to contact PersonY	1
PersonX studies history at the library  xAttr  [GEN]	smart	1
PersonX leaves his place for the airport  xEffect  [GEN]	is given a ride	1
PersonX reaches  xEffect  [GEN]	gains knowledge	2
PersonX gets the key to his office  HinderedBy  [GEN]	PersonX is not allowed to leave the office	1
PersonX talks about PersonY's grandson  HinderedBy  [GEN]	PersonX can't find his grandson	2
PersonX has discovered enough  xNeed  [GEN]	to have made some progress	1
PersonX sits forward  HinderedBy  [GEN]	PersonX is too shy to sit up	1
PersonX gives birth to baby PersonY  xAttr  [GEN]	responsible	1
PersonX sees PersonY struggling  xIntent  [GEN]	to help PersonY	2
PersonX finds an iguana  xIntent  [GEN]	to be an animal lover	1
PersonX and PersonY get on the wrong train  xAttr  [GEN]	irresponsible	1
PersonX returns to the farm  xReact  [GEN]	relieved	1
PersonX sharpens PersonY's pencil  xAttr  [GEN]	talented	1
PersonX opens a bookstore  xAttr  [GEN]	a good businessman	1
PersonX designs an award-winning car  HinderedBy  [GEN]	PersonX can't find the right parts	1
PersonX has an offer to tour China  xIntent  [GEN]	to see the world	1
PersonX uses computers  xWant  [GEN]	to play computer games	1
PersonX names three girls  xAttr  [GEN]	confident	1
PersonX remains as he is  xAttr  [GEN]	humble	1
PersonX is a regular person  xReact  [GEN]	comfortable	1
PersonX helps PersonY into the tub  xNeed  [GEN]	to be on the same page as PersonY	1
PersonX listens to PersonY's comment  xIntent  [GEN]	to hear the question	2
PersonX considers the problem  xNeed  [GEN]	to be able to be an expert	1
PersonX promised to do something  HinderedBy  [GEN]	PersonX is too sick to do anything	1
PersonX is considered attractive  xWant  [GEN]	to be popular	1
PersonX reads in front of PersonY  xAttr  [GEN]	attentive	1
PersonX is prepared for an important exam  HinderedBy  [GEN]	PersonX is too tired to go to class on time	1
PersonX orders some coffee  xIntent  [GEN]	to be in control	1
PersonX decides to fly a kite  xIntent  [GEN]	to take a flight	2
PersonX is an auto mechanic  xIntent  [GEN]	to drive	1
PersonX fixes the place  HinderedBy  [GEN]	PersonX is too busy to fix the place	1
PersonX lets PersonY know about their feelings  xNeed  [GEN]	to be able to talk to PersonY	1
PersonX drives like a madman  xNeed  [GEN]	to have the strength to drive like a madman	1
PersonX visits personZ  xIntent  [GEN]	to be a good person	1
PersonX gets a new haircut  xIntent  [GEN]	to look better	1
PersonX can't stop coughing  xReact  [GEN]	guilty	2
PersonX eats junk food  xIntent  [GEN]	to get fat	1
PersonX has the right idea  xIntent  [GEN]	to make the world a better place	1
PersonX is not particularly angry  HinderedBy  [GEN]	PersonX is very upset	1
PersonX immediately returned the favor  xWant  [GEN]	to get back the favor back	1
PersonX watches a car drive away  xIntent  [GEN]	to see a car	1
PersonX considers the problem  HinderedBy  [GEN]	PersonX can't think of a solution	2
PersonX sets fire to a car  xIntent  [GEN]	to make a mess	1
PersonX brings back water  HinderedBy  [GEN]	PersonX is allergic to water	1
PersonX observes a meteor  xWant  [GEN]	to see a movie	2
PersonX seduces PersonY's wife  xNeed  [GEN]	to be able to seduce PersonY's wife	1
PersonX has a plan for every eventuality  xAttr  [GEN]	decisive	1
PersonX explains the puzzle  xAttr  [GEN]	intelligent	1
PersonX provides for a rainy day  xIntent  [GEN]	to be with his family	2
PersonX calls personX  xNeed  [GEN]	to be in the same room as personX	2
PersonX and PersonY are old friends  xWant  [GEN]	to see PersonY again	1
PersonX tries out a new dance step  xNeed  [GEN]	to practice her dance	1
PersonX skis on fresh snow  HinderedBy  [GEN]	PersonX can't find the snow shovel	2
PersonX reads that PersonY can be met  xWant  [GEN]	to know that PersonY meets PersonY	2
PersonX and PersonY share milk  xWant  [GEN]	to share his food with PersonY	1
PersonX finds an engagement ring in the street  xReact  [GEN]	inspired	1
PersonX dreams of war  xReact  [GEN]	scared	1
PersonX loses his identification card  xWant  [GEN]	to get in trouble	2
PersonX is sure of the reply  xNeed  [GEN]	to say what he wanted to say	1
PersonX has never had a Christmas like this  HinderedBy  [GEN]	PersonX has a bad habit of having a bad Christmas	1
PersonX gives his love to PersonY  xEffect  [GEN]	and PersonY are happy	1
PersonX wants to shake PersonY's hand  xReact  [GEN]	pleased	1
PersonX fixes the place  xReact  [GEN]	happy	1
PersonX and PersonY paint the wall  xAttr  [GEN]	creative	1
PersonX does not like her new hair style  xEffect  [GEN]	does not wear her new hair style	1
PersonX uses computers  xNeed  [GEN]	to have a computer	1
PersonX consults an attorney  xEffect  [GEN]	is paid a lot of money	1
PersonX turns to look  xEffect  [GEN]	sees a star in the sky	1
PersonX hides the money  xIntent  [GEN]	to hide the money	1
PersonX chooses a great place to visit  HinderedBy  [GEN]	PersonX can't afford the trip	1
PersonX listens to Grandma  xWant  [GEN]	to tell Grandma to stop	1
PersonX met PersonY on vacation  xIntent  [GEN]	to be part of the group	1
PersonX drops his valuables  xWant  [GEN]	to buy new batteries	2
PersonX is thwarted by traffic  xReact  [GEN]	sad	1
PersonX travels without a suitcase  xReact  [GEN]	excited	1
PersonX is obliged to go on a mission  xWant  [GEN]	to go home	1
PersonX takes a diploma  xIntent  [GEN]	to learn a new skill	1
PersonX gives birth to baby PersonY  xNeed  [GEN]	to be pregnant	1
PersonX tries pot  xEffect  [GEN]	grows a plant	1
PersonX is somewhat optimistic  HinderedBy  [GEN]	PersonX is concerned about the future	1
PersonX dips into the till  xReact  [GEN]	content	2
