141. 	PersonX falls into a routine  xReact  [GEN]	relaxed	yes
142. 	PersonX has his first child  xWant  [GEN]	to be a father	yes
143. 	PersonX goes on a train trip  xReact  [GEN]	tired	yes
144. 	PersonX presents the new candidate  xIntent  [GEN]	to make an impression	yes
145. 	PersonX gives up and sleeps  xEffect  [GEN]	is still tired	yes
146. 	PersonX speaks at a club  xAttr  [GEN]	intelligent	yes
147. 	PersonX buys a cup of tea  xAttr  [GEN]	friendly	no
148. 	PersonX cancels a trip to Paris  xAttr  [GEN]	unreliable	no
149. 	PersonX's car is out of gas  xReact  [GEN]	stressed	yes
150. 	PersonX sets up his home PC  xIntent  [GEN]	to make his home PC more attractive	yes
151. 	PersonX learns a new thing  xEffect  [GEN]	becomes a better person	no
152. 	PersonX looks cool  xWant  [GEN]	to be cool	yes
153. 	PersonX asks PersonY to build a house  xAttr  [GEN]	brave	no
154. 	PersonX and PersonY are involved in a surprise battle  xWant  [GEN]	to get away	yes
155. 	PersonX attends prayer meeting  xEffect  [GEN]	feels more spiritual	yes
156. 	PersonX asks if he can have a cup of coffee  xReact  [GEN]	appreciated	no
157. 	PersonX goes sledding  xIntent  [GEN]	to be active	yes
158. 	PersonX recognizes PersonY as a thief  HinderedBy  [GEN]	PersonX is too scared to confront PersonY	no
159. 	PersonX proclaims PersonY guilty  xEffect  [GEN]	is proud of PersonY	no
160. 	PersonX joins the mob  xAttr  [GEN]	a thug	yes
161. 	PersonX has a really smart idea  xReact  [GEN]	smart	yes
162. 	PersonX slips out of the house  HinderedBy  [GEN]	PersonX is still in the house	no
163. 	PersonX relies on PersonY for advice  xIntent  [GEN]	to know how to solve a problem	yes
164. 	PersonX starts a new political party  xReact  [GEN]	motivated	yes
165. 	PersonX realizes she is attracted to PersonY  xWant  [GEN]	to kiss PersonY	yes
166. 	PersonX keeps the goal in mind  xNeed  [GEN]	to have a goal	yes
167. 	PersonX takes advantage of PersonY's suggestion  HinderedBy  [GEN]	PersonX is shy	yes
168. 	PersonX is a bad person  xReact  [GEN]	bad	yes
169. 	PersonX ponders the important question  xReact  [GEN]	thoughtful	yes
170. 	PersonX asks for the pencils  xIntent  [GEN]	to study	yes
171. 	PersonX talks about it  xIntent  [GEN]	to talk about it	yes
172. 	PersonX frowns a lot  xReact  [GEN]	annoyed	no
173. 	PersonX claims PersonY is guilty  xNeed  [GEN]	to be convinced	yes
174. 	PersonX tries to keep her secret  HinderedBy  [GEN]	PersonX is too scared to tell anyone	no
175. 	PersonX continues to move  xAttr  [GEN]	strong	yes
176. 	PersonX helps to deliver the package  xReact  [GEN]	appreciated	yes
177. 	PersonX wants PersonY to come in for a drink  xIntent  [GEN]	to be friends with PersonY	yes
178. 	PersonX becomes educated  xEffect  [GEN]	learns French	yes
179. 	PersonX stops to buy tacos  xWant  [GEN]	to eat a lot of tacos	yes
180. 	PersonX will do it  xAttr  [GEN]	a leader	yes
181. 	PersonX promises PersonY not to hurt him  xIntent  [GEN]	to be a good friend	yes
182. 	PersonX teaches kids to swim  xNeed  [GEN]	to be interested in swimming	yes
183. 	PersonX buys expensive clothes  xEffect  [GEN]	is admired by his friends	yes
184. 	PersonX comes back to help PersonY  xReact  [GEN]	responsible	yes
185. 	PersonX drives over the river  xIntent  [GEN]	to get to the other side	yes
186. 	PersonX delivers PersonY's message  xAttr  [GEN]	reliable	yes
187. 	PersonX mails letter  HinderedBy  [GEN]	PersonX can't find the letter editor	yes
188. 	PersonX wants to control the world  HinderedBy  [GEN]	PersonX is an idiot	yes
189. 	PersonX consigns PersonY to Hell  xNeed  [GEN]	to be mad at PersonY	yes
190. 	PersonX can't go on like this  xAttr  [GEN]	indecisive	yes
191. 	PersonX changes a password  xReact  [GEN]	confident	yes
192. 	PersonX manages to agree  HinderedBy  [GEN]	PersonX can't make a decision	yes
193. 	PersonX sticks to the contract  HinderedBy  [GEN]	PersonX can't find the contract	yes
194. 	PersonX suffers from stomachache  xEffect  [GEN]	takes painkillers	yes
195. 	PersonX believes something about PersonY  xIntent  [GEN]	to find out what PersonY is up to	no
196. 	PersonX reveals the baby's name  HinderedBy  [GEN]	PersonX can't remember the baby's name	yes
197. 	PersonX starts to read the book  xReact  [GEN]	interested	yes
198. 	PersonX follows the script  xIntent  [GEN]	to be a good actor	yes
199. 	PersonX is not wanted  xAttr  [GEN]	unfriendly	yes
200. 	PersonX's father praises PersonX  xWant  [GEN]	to be like PersonX's father	no
201. 	PersonX remains in place  xReact  [GEN]	calm	yes
202. 	PersonX is building a house  xAttr  [GEN]	responsible	no
203. 	PersonX fails in winning PersonY's heart  xNeed  [GEN]	to try to talk to PersonY	yes
204. 	PersonX makes a movie about it  xEffect  [GEN]	is appreciated by his friends	yes
205. 	PersonX leaves behind the past  xReact  [GEN]	regretful	yes
206. 	PersonX closes a window  xIntent  [GEN]	to be warm	yes
207. 	PersonX sits at the computer  xIntent  [GEN]	to be productive	yes
208. 	PersonX asks to move in  xIntent  [GEN]	to live with her family	yes
209. 	PersonX posts a video online  xNeed  [GEN]	to have a camera	yes
210. 	PersonX confesses his love for PersonY  HinderedBy  [GEN]	PersonX is not in love with PersonY	yes
211. 	PersonX maintains the friendship  xEffect  [GEN]	is friends with Robin	yes
212. 	PersonX behaves like a buddy  xWant  [GEN]	to be friends with everyone	yes
213. 	PersonX casts out  HinderedBy  [GEN]	PersonX is unable to run	no
214. 	PersonX got there before PersonY  xEffect  [GEN]	did not get late	yes
215. 	PersonX and PersonY start over  xWant  [GEN]	to be friends with PersonY	yes
216. 	PersonX sings in the shower  xAttr  [GEN]	talented	no
217. 	PersonX will save the world  xIntent  [GEN]	to help people	yes
218. 	PersonX returns to the country after four years  HinderedBy  [GEN]	PersonX is still living in Australia	yes
219. 	PersonX and PersonY pack  xIntent  [GEN]	to travel and PersonY wants to pack for the trip.	yes
220. 	PersonX fights to be free  xNeed  [GEN]	to have a desire to be free	yes
221. 	PersonX bought a house  xIntent  [GEN]	to live in a nice house	yes
222. 	PersonX sets up a booth  HinderedBy  [GEN]	PersonX can't find the materials	yes
223. 	PersonX survives in the environment  xReact  [GEN]	happy	yes
224. 	PersonX gets everyone into trouble  xIntent  [GEN]	to make people do things	yes
225. 	PersonX discovers an important clue  HinderedBy  [GEN]	PersonX can't find the book	no
226. 	PersonX wants to get through the day  xIntent  [GEN]	to be ready for a new task	yes
227. 	PersonX teaches personY not to steal  xReact  [GEN]	happy	yes
228. 	PersonX gives a telephone message to Mary  HinderedBy  [GEN]	PersonX can't find Mary	yes
229. 	PersonX becomes a person who attacks others  xNeed  [GEN]	to have the ability to do so	yes
230. 	PersonX keeps the cat  xAttr  [GEN]	kind	yes
231. 	PersonX learns to talk  xReact  [GEN]	better	yes
232. 	PersonX reads the last paper  HinderedBy  [GEN]	PersonX can't find the paper	yes
233. 	PersonX still gets the job  xWant  [GEN]	to keep the job	yes
234. 	PersonX is bored in the meeting  xReact  [GEN]	annoyed	yes
235. 	PersonX becomes the king  xReact  [GEN]	powerful	yes
236. 	PersonX is trying to decide on dinner  xWant  [GEN]	to eat a good dinner	yes
237. 	PersonX falls off a ledge  xWant  [GEN]	to get back up	yes
238. 	PersonX joins Facebook  xEffect  [GEN]	makes friends	yes
239. 	PersonX wants to keep her baby  xAttr  [GEN]	supportive	yes
240. 	PersonX lets go of PersonY  xEffect  [GEN]	has more time for himself	yes
241. 	PersonX acts on his insight  xReact  [GEN]	wise	yes
242. 	PersonX will be right with you  xIntent  [GEN]	to be loyal	yes
243. 	PersonX still gets the job  xReact  [GEN]	confident	yes
244. 	PersonX dons safety goggles  xNeed  [GEN]	to be in an unsafe place	yes
245. 	PersonX wishes he hadn't gone to the beach  xReact  [GEN]	disappointed	yes
246. 	PersonX recognizes something  HinderedBy  [GEN]	PersonX can't find the object	yes
247. 	PersonX puts a book on the shelf  HinderedBy  [GEN]	PersonX is afraid to touch books	yes
248. 	PersonX changes into clothes  xEffect  [GEN]	changes into a new outfit	yes
249. 	PersonX acts like a horse’s ass  xAttr  [GEN]	a show-off	yes
250. 	PersonX buys a cheeseburger  xIntent  [GEN]	to have a cheeseburger	yes
251. 	PersonX receives a surprise  xEffect  [GEN]	is happy	yes
252. 	PersonX’s attitude to something has changed  HinderedBy  [GEN]	PersonX is too busy to notice	yes
253. 	PersonX talks to PersonY's mom  xEffect  [GEN]	learns about PersonY's mom	yes
254. 	PersonX ran into PersonY in town  xWant  [GEN]	to see PersonY again	yes
255. 	PersonX discovers PersonY's betrayal  xWant  [GEN]	to make PersonY stop being a liability	yes
256. 	PersonX uses the bike  xEffect  [GEN]	gets a new bike	no
257. 	PersonX accepts PersonY's greetings  xAttr  [GEN]	nice	no
258. 	PersonX changes one's mind  xIntent  [GEN]	to change someone's mind	yes
259. 	PersonX makes fun of self  xIntent  [GEN]	to hurt himself	no
260. 	PersonX wants to sleep with PersonY  HinderedBy  [GEN]	PersonX is too tired to sleep	yes
261. 	PersonX finds a victim  xAttr  [GEN]	brave	yes
262. 	PersonX buys a fancy car  xWant  [GEN]	to take a vacation	yes
263. 	PersonX read a book by Michael Connelly  xEffect  [GEN]	learned to read	yes
264. 	PersonX brings it all together  HinderedBy  [GEN]	PersonX is too tired to work on the project	yes
265. 	PersonX reconciles with her mother  xEffect  [GEN]	is content	yes
266. 	PersonX sees his neighbor's house on fire  xEffect  [GEN]	gets scared	yes
267. 	PersonX tries to jump over a ditch  xNeed  [GEN]	to have a desire to jump over a ditch	yes
268. 	PersonX makes a public statement  HinderedBy  [GEN]	PersonX is afraid to make anything public	yes
269. 	PersonX puts on PersonY’s socks  xIntent  [GEN]	to be a good friend	yes
270. 	PersonX decides to invest in stocks  xReact  [GEN]	excited	yes
271. 	PersonX gets on the inside of PersonY  xIntent  [GEN]	to learn more about PersonY	yes
272. 	PersonX studies personY’s mannerisms  xIntent  [GEN]	to learn more about personY	yes
273. 	PersonX notices item  xReact  [GEN]	curious	yes
274. 	PersonX sends mail to a constituent  xAttr  [GEN]	loyal	yes
275. 	PersonX gets humiliated  xEffect  [GEN]	gets angry	yes
276. 	PersonX has found PersonY’s knife  xAttr  [GEN]	a detective	no
277. 	PersonX invites PersonY to the concert  xAttr  [GEN]	charming	no
278. 	PersonX enters a lesbian bar  xReact  [GEN]	happy	yes
279. 	PersonX goes somewhere nice  HinderedBy  [GEN]	PersonX is afraid of flying	no
280. 	PersonX offers the food  HinderedBy  [GEN]	PersonX is allergic to food	no
281. 	PersonX rips off PersonY's head  xIntent  [GEN]	to punish PersonY	yes
282. 	PersonX is fortunate  xEffect  [GEN]	is happy	yes
283. 	PersonX pulls a knife on PersonY  xAttr  [GEN]	violent	yes
284. 	PersonX has a horrible nightmare  xWant  [GEN]	to be alone	no
285. 	PersonX chooses to remain silent  xIntent  [GEN]	to avoid an argument	yes
286. 	PersonX enjoys vacations  xEffect  [GEN]	has a good time	yes
287. 	PersonX became a captain  HinderedBy  [GEN]	PersonX didn't become a captain	yes
288. 	PersonX shares his ideas  HinderedBy  [GEN]	PersonX can't find any ideas	yes
289. 	PersonX has seen better days  xEffect  [GEN]	is sad	yes
290. 	PersonX is in deep trouble  xReact  [GEN]	scared	yes
291. 	PersonX asks a person related to PersonY  xEffect  [GEN]	learns about PersonY’s situation	yes
292. 	PersonX writes a short note to PersonY  xEffect  [GEN]	is thanked by PersonY	yes
293. 	PersonX tells PersonY the problem  xAttr  [GEN]	sensitive	yes
294. 	PersonX remembers being pushed  xWant  [GEN]	to get back in line	yes
295. 	PersonX speaks to the class  HinderedBy  [GEN]	PersonX is afraid to speak in front of the class	yes
296. 	PersonX thinks about a scientific issue  HinderedBy  [GEN]	PersonX is too tired to do so	yes
297. 	PersonX loses a race  xEffect  [GEN]	feels upset	yes
298. 	PersonX joins the Daughters of the Republic of Texas  xReact  [GEN]	excited	yes
299. 	PersonX attends to details  xAttr  [GEN]	organized	yes
300. 	PersonX has some problems  xEffect  [GEN]	is treated by a doctor	yes
301. 	PersonX dances at the party  xReact  [GEN]	thrilled	yes
302. 	PersonX and PersonY live nearby  xReact  [GEN]	safe	yes
303. 	PersonX thinks of someone else's bad decision  xReact  [GEN]	angry	yes
304. 	PersonX finds a role model  HinderedBy  [GEN]	PersonX doesn't like to talk to people	yes
305. 	PersonX gets more equipment  xEffect  [GEN]	has more skills	yes
306. 	PersonX helps people  xReact  [GEN]	helpful	yes
307. 	PersonX murders his stepfather  xEffect  [GEN]	is arrested	yes
308. 	PersonX becomes more environmentally friendly  xIntent  [GEN]	to save energy	yes
309. 	PersonX starts to read a book  HinderedBy  [GEN]	PersonX is not interested in reading	yes
310. 	PersonX tries to outsmart PersonY  xNeed  [GEN]	to be able to outsmart PersonY	yes
311. 	PersonX tells PersonY he thinks the plan is rubbish  xNeed  [GEN]	to have thought about the plan	yes
312. 	PersonX asks PersonY about ...  xReact  [GEN]	concerned	yes
313. 	PersonX lies about his name  xAttr  [GEN]	deceptive	yes
314. 	PersonX tells PersonY they need to talk  HinderedBy  [GEN]	PersonX is too shy to tell PersonY	yes
315. 	PersonX's father is inconsiderate  xEffect  [GEN]	’s father is reprimanded	yes
316. 	PersonX becomes delighted  xReact  [GEN]	happy	yes
317. 	PersonX is in a war  HinderedBy  [GEN]	PersonX is afraid of war	yes
318. 	PersonX says 'I love you'  xIntent  [GEN]	to show love	yes
319. 	PersonX has a financial setback  xWant  [GEN]	to have more money	yes
320. 	PersonX finds the right way  xAttr  [GEN]	good at finding the right way	yes
321. 	PersonX is hard at work  xIntent  [GEN]	to complete a project	yes
322. 	PersonX loses their coat  xWant  [GEN]	to find a new coat	yes
323. 	PersonX dreams about her child  HinderedBy  [GEN]	PersonX is in a coma	yes
324. 	PersonX plans to surprise PersonY with a gift  xAttr  [GEN]	romantic	yes
325. 	PersonX has to do something for PersonY  xIntent  [GEN]	to be a good friend	yes
326. 	PersonX is unqualified  xEffect  [GEN]	is disqualified	yes
327. 	PersonX beats PersonY in bowling  xEffect  [GEN]	is congratulated by PersonY	yes
328. 	PersonX observes PersonY talking  xReact  [GEN]	disturbed	no
329. 	PersonX writes about a canoe trip  xAttr  [GEN]	talented	no
330. 	PersonX turns off a machine  xAttr  [GEN]	helpful	no
331. 	PersonX spends 20 years in prison  xReact  [GEN]	sad	yes
332. 	PersonX packs everything  xReact  [GEN]	pleased	yes
333. 	PersonX looks upon the sunrise  xReact  [GEN]	peaceful	yes
334. 	PersonX translates a book for PersonY  HinderedBy  [GEN]	PersonX is too tired to translate	yes
335. 	PersonX sends a condolence card  xEffect  [GEN]	is happy to see his friend	yes
336. 	PersonX breaks an object  xReact  [GEN]	ashamed	yes
337. 	PersonX offers to be a supervisor  xAttr  [GEN]	confident	no
338. 	PersonX writes the story of a life  xEffect  [GEN]	writes the story of his life	yes
339. 	PersonX reads all of PersonY's books  xReact  [GEN]	content	yes
340. 	PersonX finds out about a murder  xEffect  [GEN]	is upset	yes
341. 	PersonX and PersonY continue  xEffect  [GEN]	and PersonY make love	yes
342. 	PersonX tells PersonY the secret to success  xIntent  [GEN]	to help PersonY learn something new	yes
343. 	PersonX enjoys the house  xReact  [GEN]	content	yes
344. 	PersonX rides a skateboard  xReact  [GEN]	joyful	yes
345. 	PersonX has a complex about his body  xReact  [GEN]	frustrated	yes
346. 	PersonX talks to the psychiatrist  xIntent  [GEN]	to be understood	yes
347. 	PersonX gets ready for the big game  xAttr  [GEN]	smart	yes
348. 	PersonX beats the living crap out of PersonY  xEffect  [GEN]	is reprimanded by PersonY	yes
349. 	PersonX delivers  xIntent  [GEN]	to be helpful	no
350. 	PersonX remembers the concert  xReact  [GEN]	nostalgic	yes
351. 	PersonX falls asleep in front of TV  xReact  [GEN]	satisfied	no
352. 	PersonX learns to use a PC  HinderedBy  [GEN]	PersonX can't get a gig	yes
353. 	PersonX has a few hobbies  HinderedBy  [GEN]	PersonX is afraid of getting dirty	no
354. 	PersonX waits to see how the chips fall  xIntent  [GEN]	to be prepared for the future	no
355. 	PersonX moves closer  xIntent  [GEN]	to live with PersonX	yes
356. 	PersonX polishes the toy  xAttr  [GEN]	neat	yes
357. 	PersonX tells PersonY to watch the clock  xWant  [GEN]	to stop the clock	yes
358. 	PersonX and PersonY start all over again  xIntent  [GEN]	to get back to his old self and PersonY wants to get back to his old self	yes
359. 	PersonX went to the wrong place  xAttr  [GEN]	irresponsible	no
360. 	PersonX plans a future with PersonY  xWant  [GEN]	to spend more time with PersonY	yes
361. 	PersonX sees the mushroom  xReact  [GEN]	curious	yes
362. 	PersonX dreams of meeting PersonY  xIntent  [GEN]	to be closer to PersonY	yes
363. 	PersonX wishes that the pain would go away  xIntent  [GEN]	to be able to move on	yes
364. 	PersonX can be amusing  xEffect  [GEN]	gets his way	no
365. 	PersonX brings PersonY to her knees  xIntent  [GEN]	to be dominant	yes
366. 	PersonX gets a touch of influenza  xEffect  [GEN]	is sick	no
367. 	PersonX keeps a record of his exercise  HinderedBy  [GEN]	PersonX forgets his exercise book	yes
368. 	PersonX agrees to help PersonY’s team  xReact  [GEN]	happy	yes
369. 	PersonX tries to avoid telling PersonY  xIntent  [GEN]	to avoid the truth	yes
370. 	PersonX considers how to take care of PersonY  xEffect  [GEN]	takes care of PersonY	yes
371. 	PersonX is asked about PersonY  xWant  [GEN]	to know more about PersonY	no
372. 	PersonX starts to read the menu  xReact  [GEN]	curious	yes
373. 	PersonX burns their hand  xReact  [GEN]	sad	yes
