PersonX plans to seduce PersonY  xEffect  [GEN]	seduces PersonY	yes
PersonX speaks too quickly  xAttr  [GEN]	impatient	yes
PersonX begins to understand herself  HinderedBy  [GEN]	PersonX is still too embarrassed to admit that she is asexual	yes
PersonX carries on a dialog  xWant  [GEN]	to be good	no
PersonX gets the kiss  xIntent  [GEN]	to kiss Kate	yes
PersonX has to save PersonY  xAttr  [GEN]	heroic	yes
PersonX falls into a routine  xReact  [GEN]	relaxed	yes
PersonX has his first child  xWant  [GEN]	to be a father	yes
PersonX goes on a train trip  xReact  [GEN]	tired	yes
PersonX presents the new candidate  xIntent  [GEN]	to make an impression	yes
PersonX gives up and sleeps  xEffect  [GEN]	is still tired	yes
PersonX speaks at a club  xAttr  [GEN]	intelligent	yes
PersonX buys a cup of tea  xAttr  [GEN]	friendly	no
PersonX cancels a trip to Paris  xAttr  [GEN]	unreliable	no
PersonX's car is out of gas  xReact  [GEN]	stressed	yes
PersonX sets up his home PC  xIntent  [GEN]	to make his home PC more attractive	yes
PersonX learns a new thing  xEffect  [GEN]	becomes a better person	no
PersonX looks cool  xWant  [GEN]	to be cool	yes
PersonX asks PersonY to build a house  xAttr  [GEN]	brave	no
PersonX and PersonY are involved in a surprise battle  xWant  [GEN]	to get away	yes
PersonX attends prayer meeting  xEffect  [GEN]	feels more spiritual	yes
PersonX asks if he can have a cup of coffee  xReact  [GEN]	appreciated	no
PersonX goes sledding  xIntent  [GEN]	to be active	yes
PersonX recognizes PersonY as a thief  HinderedBy  [GEN]	PersonX is too scared to confront PersonY	no
PersonX proclaims PersonY guilty  xEffect  [GEN]	is proud of PersonY	no
PersonX joins the mob  xAttr  [GEN]	a thug	yes
PersonX has a really smart idea  xReact  [GEN]	smart	yes
PersonX slips out of the house  HinderedBy  [GEN]	PersonX is still in the house	no
PersonX relies on PersonY for advice  xIntent  [GEN]	to know how to solve a problem	yes
PersonX starts a new political party  xReact  [GEN]	motivated	yes
PersonX realizes she is attracted to PersonY  xWant  [GEN]	to kiss PersonY	yes
PersonX keeps the goal in mind  xNeed  [GEN]	to have a goal	yes
PersonX takes advantage of PersonY's suggestion  HinderedBy  [GEN]	PersonX is shy	yes
PersonX is a bad person  xReact  [GEN]	bad	yes
PersonX ponders the important question  xReact  [GEN]	thoughtful	yes
PersonX asks for the pencils  xIntent  [GEN]	to study	yes
PersonX talks about it  xIntent  [GEN]	to talk about it	yes
PersonX frowns a lot  xReact  [GEN]	annoyed	no
PersonX claims PersonY is guilty  xNeed  [GEN]	to be convinced	yes
PersonX tries to keep her secret  HinderedBy  [GEN]	PersonX is too scared to tell anyone	no
PersonX continues to move  xAttr  [GEN]	strong	yes
PersonX helps to deliver the package  xReact  [GEN]	appreciated	yes
PersonX wants PersonY to come in for a drink  xIntent  [GEN]	to be friends with PersonY	yes
PersonX becomes educated  xEffect  [GEN]	learns French	yes
PersonX stops to buy tacos  xWant  [GEN]	to eat a lot of tacos	yes
PersonX will do it  xAttr  [GEN]	a leader	yes
PersonX promises PersonY not to hurt him  xIntent  [GEN]	to be a good friend	yes
PersonX teaches kids to swim  xNeed  [GEN]	to be interested in swimming	yes
PersonX buys expensive clothes  xEffect  [GEN]	is admired by his friends	yes
PersonX comes back to help PersonY  xReact  [GEN]	responsible	yes
PersonX drives over the river  xIntent  [GEN]	to get to the other side	yes
PersonX delivers PersonY's message  xAttr  [GEN]	reliable	yes
PersonX mails letter  HinderedBy  [GEN]	PersonX can't find the letter editor	yes
PersonX wants to control the world  HinderedBy  [GEN]	PersonX is an idiot	yes
PersonX consigns PersonY to Hell  xNeed  [GEN]	to be mad at PersonY	yes
PersonX can't go on like this  xAttr  [GEN]	indecisive	yes
PersonX changes a password  xReact  [GEN]	confident	yes
PersonX manages to agree  HinderedBy  [GEN]	PersonX can't make a decision	yes
PersonX sticks to the contract  HinderedBy  [GEN]	PersonX can't find the contract	yes
PersonX suffers from stomachache  xEffect  [GEN]	takes painkillers	yes
PersonX believes something about PersonY  xIntent  [GEN]	to find out what PersonY is up to	no
PersonX reveals the baby's name  HinderedBy  [GEN]	PersonX can't remember the baby's name	yes
PersonX starts to read the book  xReact  [GEN]	interested	yes
PersonX follows the script  xIntent  [GEN]	to be a good actor	yes
PersonX is not wanted  xAttr  [GEN]	unfriendly	yes
PersonX's father praises PersonX  xWant  [GEN]	to be like PersonX's father	no
PersonX remains in place  xReact  [GEN]	calm	yes
PersonX is building a house  xAttr  [GEN]	responsible	no
PersonX fails in winning PersonY's heart  xNeed  [GEN]	to try to talk to PersonY	yes
PersonX makes a movie about it  xEffect  [GEN]	is appreciated by his friends	yes
PersonX leaves behind the past  xReact  [GEN]	regretful	yes
PersonX closes a window  xIntent  [GEN]	to be warm	yes
PersonX sits at the computer  xIntent  [GEN]	to be productive	yes
PersonX asks to move in  xIntent  [GEN]	to live with her family	yes
PersonX posts a video online  xNeed  [GEN]	to have a camera	yes
PersonX confesses his love for PersonY  HinderedBy  [GEN]	PersonX is not in love with PersonY	yes
PersonX maintains the friendship  xEffect  [GEN]	is friends with Robin	yes
PersonX behaves like a buddy  xWant  [GEN]	to be friends with everyone	yes
PersonX casts out  HinderedBy  [GEN]	PersonX is unable to run	no
PersonX got there before PersonY  xEffect  [GEN]	did not get late	yes
PersonX and PersonY start over  xWant  [GEN]	to be friends with PersonY	yes
PersonX sings in the shower  xAttr  [GEN]	talented	no
PersonX will save the world  xIntent  [GEN]	to help people	yes
PersonX returns to the country after four years  HinderedBy  [GEN]	PersonX is still living in Australia	yes
PersonX and PersonY pack  xIntent  [GEN]	to travel and PersonY wants to pack for the trip.	yes
PersonX fights to be free  xNeed  [GEN]	to have a desire to be free	yes
PersonX bought a house  xIntent  [GEN]	to live in a nice house	yes
PersonX sets up a booth  HinderedBy  [GEN]	PersonX can't find the materials	yes
PersonX survives in the environment  xReact  [GEN]	happy	yes
PersonX gets everyone into trouble  xIntent  [GEN]	to make people do things	yes
PersonX discovers an important clue  HinderedBy  [GEN]	PersonX can't find the book	no
PersonX wants to get through the day  xIntent  [GEN]	to be ready for a new task	yes
PersonX teaches personY not to steal  xReact  [GEN]	happy	yes
PersonX gives a telephone message to Mary  HinderedBy  [GEN]	PersonX can't find Mary	yes
PersonX becomes a person who attacks others  xNeed  [GEN]	to have the ability to do so	yes
PersonX keeps the cat  xAttr  [GEN]	kind	yes
PersonX learns to talk  xReact  [GEN]	better	yes
PersonX reads the last paper  HinderedBy  [GEN]	PersonX can't find the paper	yes
PersonX still gets the job  xWant  [GEN]	to keep the job	yes
PersonX is bored in the meeting  xReact  [GEN]	annoyed	yes
PersonX becomes the king  xReact  [GEN]	powerful	yes
PersonX is trying to decide on dinner  xWant  [GEN]	to eat a good dinner	yes
PersonX falls off a ledge  xWant  [GEN]	to get back up	yes
PersonX joins Facebook  xEffect  [GEN]	makes friends	yes
PersonX wants to keep her baby  xAttr  [GEN]	supportive	yes
PersonX lets go of PersonY  xEffect  [GEN]	has more time for himself	yes
PersonX acts on his insight  xReact  [GEN]	wise	yes
PersonX will be right with you  xIntent  [GEN]	to be loyal	yes
PersonX still gets the job  xReact  [GEN]	confident	yes
PersonX dons safety goggles  xNeed  [GEN]	to be in an unsafe place	yes
PersonX wishes he hadn't gone to the beach  xReact  [GEN]	disappointed	yes
PersonX recognizes something  HinderedBy  [GEN]	PersonX can't find the object	yes
PersonX puts a book on the shelf  HinderedBy  [GEN]	PersonX is afraid to touch books	yes
PersonX changes into clothes  xEffect  [GEN]	changes into a new outfit	yes
PersonX acts like a horse’s ass  xAttr  [GEN]	a show-off	yes
PersonX buys a cheeseburger  xIntent  [GEN]	to have a cheeseburger	yes
PersonX receives a surprise  xEffect  [GEN]	is happy	yes
PersonX’s attitude to something has changed  HinderedBy  [GEN]	PersonX is too busy to notice	yes
PersonX talks to PersonY's mom  xEffect  [GEN]	learns about PersonY's mom	yes
PersonX ran into PersonY in town  xWant  [GEN]	to see PersonY again	yes
PersonX discovers PersonY's betrayal  xWant  [GEN]	to make PersonY stop being a liability	yes
PersonX uses the bike  xEffect  [GEN]	gets a new bike	no
PersonX accepts PersonY's greetings  xAttr  [GEN]	nice	no
PersonX changes one's mind  xIntent  [GEN]	to change someone's mind	yes
PersonX makes fun of self  xIntent  [GEN]	to hurt himself	no
PersonX wants to sleep with PersonY  HinderedBy  [GEN]	PersonX is too tired to sleep	yes
PersonX finds a victim  xAttr  [GEN]	brave	yes
PersonX buys a fancy car  xWant  [GEN]	to take a vacation	yes
PersonX read a book by Michael Connelly  xEffect  [GEN]	learned to read	yes
PersonX brings it all together  HinderedBy  [GEN]	PersonX is too tired to work on the project	yes
PersonX reconciles with her mother  xEffect  [GEN]	is content	yes
PersonX sees his neighbor's house on fire  xEffect  [GEN]	gets scared	yes
PersonX tries to jump over a ditch  xNeed  [GEN]	to have a desire to jump over a ditch	yes
PersonX makes a public statement  HinderedBy  [GEN]	PersonX is afraid to make anything public	yes
PersonX puts on PersonY’s socks  xIntent  [GEN]	to be a good friend	yes
PersonX decides to invest in stocks  xReact  [GEN]	excited	yes
PersonX gets on the inside of PersonY  xIntent  [GEN]	to learn more about PersonY	yes
PersonX studies personY’s mannerisms  xIntent  [GEN]	to learn more about personY	yes
PersonX notices item  xReact  [GEN]	curious	yes
PersonX sends mail to a constituent  xAttr  [GEN]	loyal	yes
PersonX gets humiliated  xEffect  [GEN]	gets angry	yes
PersonX has found PersonY’s knife  xAttr  [GEN]	a detective	no
PersonX invites PersonY to the concert  xAttr  [GEN]	charming	no
PersonX enters a lesbian bar  xReact  [GEN]	happy	yes
PersonX goes somewhere nice  HinderedBy  [GEN]	PersonX is afraid of flying	no
PersonX offers the food  HinderedBy  [GEN]	PersonX is allergic to food	no
PersonX rips off PersonY's head  xIntent  [GEN]	to punish PersonY	yes
PersonX is fortunate  xEffect  [GEN]	is happy	yes
PersonX pulls a knife on PersonY  xAttr  [GEN]	violent	yes
PersonX has a horrible nightmare  xWant  [GEN]	to be alone	no
PersonX chooses to remain silent  xIntent  [GEN]	to avoid an argument	yes
PersonX enjoys vacations  xEffect  [GEN]	has a good time	yes
PersonX became a captain  HinderedBy  [GEN]	PersonX didn't become a captain	yes
PersonX shares his ideas  HinderedBy  [GEN]	PersonX can't find any ideas	yes
PersonX has seen better days  xEffect  [GEN]	is sad	yes
PersonX is in deep trouble  xReact  [GEN]	scared	yes
PersonX asks a person related to PersonY  xEffect  [GEN]	learns about PersonY’s situation	yes
PersonX writes a short note to PersonY  xEffect  [GEN]	is thanked by PersonY	yes
PersonX tells PersonY the problem  xAttr  [GEN]	sensitive	yes
PersonX remembers being pushed  xWant  [GEN]	to get back in line	yes
PersonX speaks to the class  HinderedBy  [GEN]	PersonX is afraid to speak in front of the class	yes
PersonX thinks about a scientific issue  HinderedBy  [GEN]	PersonX is too tired to do so	yes
PersonX loses a race  xEffect  [GEN]	feels upset	yes
PersonX joins the Daughters of the Republic of Texas  xReact  [GEN]	excited	yes
PersonX attends to details  xAttr  [GEN]	organized	yes
PersonX has some problems  xEffect  [GEN]	is treated by a doctor	yes
PersonX dances at the party  xReact  [GEN]	thrilled	yes
PersonX and PersonY live nearby  xReact  [GEN]	safe	yes
PersonX thinks of someone else's bad decision  xReact  [GEN]	angry	yes
PersonX finds a role model  HinderedBy  [GEN]	PersonX doesn't like to talk to people	yes
PersonX gets more equipment  xEffect  [GEN]	has more skills	yes
PersonX helps people  xReact  [GEN]	helpful	yes
PersonX murders his stepfather  xEffect  [GEN]	is arrested	yes
PersonX becomes more environmentally friendly  xIntent  [GEN]	to save energy	yes
PersonX starts to read a book  HinderedBy  [GEN]	PersonX is not interested in reading	yes
PersonX tries to outsmart PersonY  xNeed  [GEN]	to be able to outsmart PersonY	yes
PersonX tells PersonY he thinks the plan is rubbish  xNeed  [GEN]	to have thought about the plan	yes
PersonX asks PersonY about ...  xReact  [GEN]	concerned	yes
PersonX lies about his name  xAttr  [GEN]	deceptive	yes
PersonX tells PersonY they need to talk  HinderedBy  [GEN]	PersonX is too shy to tell PersonY	yes
PersonX's father is inconsiderate  xEffect  [GEN]	’s father is reprimanded	yes
PersonX becomes delighted  xReact  [GEN]	happy	yes
PersonX is in a war  HinderedBy  [GEN]	PersonX is afraid of war	yes
PersonX says 'I love you'  xIntent  [GEN]	to show love	yes
PersonX has a financial setback  xWant  [GEN]	to have more money	yes
PersonX finds the right way  xAttr  [GEN]	good at finding the right way	yes
PersonX is hard at work  xIntent  [GEN]	to complete a project	yes
PersonX loses their coat  xWant  [GEN]	to find a new coat	yes
PersonX dreams about her child  HinderedBy  [GEN]	PersonX is in a coma	yes
PersonX plans to surprise PersonY with a gift  xAttr  [GEN]	romantic	yes
PersonX has to do something for PersonY  xIntent  [GEN]	to be a good friend	yes
PersonX is unqualified  xEffect  [GEN]	is disqualified	yes
PersonX beats PersonY in bowling  xEffect  [GEN]	is congratulated by PersonY	yes
PersonX observes PersonY talking  xReact  [GEN]	disturbed	no
PersonX writes about a canoe trip  xAttr  [GEN]	talented	no
PersonX turns off a machine  xAttr  [GEN]	helpful	no
PersonX spends 20 years in prison  xReact  [GEN]	sad	yes
PersonX packs everything  xReact  [GEN]	pleased	yes
PersonX looks upon the sunrise  xReact  [GEN]	peaceful	yes
PersonX translates a book for PersonY  HinderedBy  [GEN]	PersonX is too tired to translate	yes
PersonX sends a condolence card  xEffect  [GEN]	is happy to see his friend	yes
PersonX breaks an object  xReact  [GEN]	ashamed	yes
PersonX offers to be a supervisor  xAttr  [GEN]	confident	no
PersonX writes the story of a life  xEffect  [GEN]	writes the story of his life	yes
PersonX reads all of PersonY's books  xReact  [GEN]	content	yes
PersonX finds out about a murder  xEffect  [GEN]	is upset	yes
PersonX and PersonY continue  xEffect  [GEN]	and PersonY make love	yes
PersonX tells PersonY the secret to success  xIntent  [GEN]	to help PersonY learn something new	yes
PersonX enjoys the house  xReact  [GEN]	content	yes
PersonX rides a skateboard  xReact  [GEN]	joyful	yes
PersonX has a complex about his body  xReact  [GEN]	frustrated	yes
PersonX talks to the psychiatrist  xIntent  [GEN]	to be understood	yes
PersonX gets ready for the big game  xAttr  [GEN]	smart	yes
PersonX beats the living crap out of PersonY  xEffect  [GEN]	is reprimanded by PersonY	yes
PersonX delivers  xIntent  [GEN]	to be helpful	no
PersonX remembers the concert  xReact  [GEN]	nostalgic	yes
PersonX falls asleep in front of TV  xReact  [GEN]	satisfied	no
PersonX learns to use a PC  HinderedBy  [GEN]	PersonX can't get a gig	yes
PersonX has a few hobbies  HinderedBy  [GEN]	PersonX is afraid of getting dirty	no
PersonX waits to see how the chips fall  xIntent  [GEN]	to be prepared for the future	no
PersonX moves closer  xIntent  [GEN]	to live with PersonX	yes
PersonX polishes the toy  xAttr  [GEN]	neat	yes
PersonX tells PersonY to watch the clock  xWant  [GEN]	to stop the clock	yes
PersonX and PersonY start all over again  xIntent  [GEN]	to get back to his old self and PersonY wants to get back to his old self	yes
PersonX went to the wrong place  xAttr  [GEN]	irresponsible	no
PersonX plans a future with PersonY  xWant  [GEN]	to spend more time with PersonY	yes
PersonX sees the mushroom  xReact  [GEN]	curious	yes
PersonX dreams of meeting PersonY  xIntent  [GEN]	to be closer to PersonY	yes
PersonX wishes that the pain would go away  xIntent  [GEN]	to be able to move on	yes
PersonX can be amusing  xEffect  [GEN]	gets his way	no
PersonX brings PersonY to her knees  xIntent  [GEN]	to be dominant	yes
PersonX gets a touch of influenza  xEffect  [GEN]	is sick	no
PersonX keeps a record of his exercise  HinderedBy  [GEN]	PersonX forgets his exercise book	yes
PersonX agrees to help PersonY’s team  xReact  [GEN]	happy	yes
PersonX tries to avoid telling PersonY  xIntent  [GEN]	to avoid the truth	yes
PersonX considers how to take care of PersonY  xEffect  [GEN]	takes care of PersonY	yes
PersonX is asked about PersonY  xWant  [GEN]	to know more about PersonY	no
PersonX starts to read the menu  xReact  [GEN]	curious	yes
PersonX burns their hand  xReact  [GEN]	sad	yes
PersonX moves the car  xIntent  [GEN]	to look good	no
PersonX attends the concert  xReact  [GEN]	happy	yes
PersonX makes a point of working regularly  HinderedBy  [GEN]	PersonX can't find a job	yes
PersonX remembers how he met PersonY  xEffect  [GEN]	becomes closer to PersonY	yes
PersonX huffs and puffs  xIntent  [GEN]	to hide his excitement	yes
PersonX marries his love  xReact  [GEN]	happy	yes
PersonX stops to check  xReact  [GEN]	curious	yes
PersonX meets his relatives  xIntent  [GEN]	to see his relatives	yes
PersonX tries to get the baby back  xWant  [GEN]	to stop babysitting	no
PersonX will go on  xIntent  [GEN]	to make sure that she is ready for a new task	yes
PersonX begins to drink  xReact  [GEN]	intoxicated	yes
PersonX refuses to let PersonY go  xIntent  [GEN]	to make PersonY suffer	yes
PersonX remembers what happened last night  xReact  [GEN]	guilty	yes
PersonX spends too much time on the phone  xEffect  [GEN]	loses his patience	no
PersonX suffers at the beach  xWant  [GEN]	to stay at the hospital	yes
PersonX jumps from the train  xIntent  [GEN]	to be free	yes
PersonX is conflicted  xReact  [GEN]	hurt	yes
PersonX arrives home from trip  xEffect  [GEN]	is welcomed home	yes
PersonX teaches PersonY about himself  HinderedBy  [GEN]	PersonX doesn't know anything about himself	yes
PersonX has stomachache  xEffect  [GEN]	is treated by a doctor	yes
PersonX sticks to his motto  xAttr  [GEN]	persistent	yes
PersonX is very confident  xReact  [GEN]	excited	yes
PersonX just married PersonY  xIntent  [GEN]	to make PersonY happy	yes
PersonX wants to visit the zoo  xNeed  [GEN]	to be interested in zoos	yes
PersonX receives and email  xEffect  [GEN]	receives a response	yes
PersonX stops by PersonY's  xIntent  [GEN]	to see PersonY	yes
PersonX can't believe what he or she sees  HinderedBy  [GEN]	PersonX can't see anything	yes
PersonX can clearly grasp it  xAttr  [GEN]	smart	yes
PersonX tells PersonY to keep it down  xIntent  [GEN]	to have PersonY's respect	no
PersonX launches the business  HinderedBy  [GEN]	PersonX is unemployed	yes
PersonX maintains a high learning rate  HinderedBy  [GEN]	[GEN] PersonX can't concentrate in class	yes
PersonX posts his thoughts online  HinderedBy  [GEN]	PersonX can't get a computer	yes
PersonX and PersonY form a partnership  xIntent  [GEN]	to be able to help PersonY	yes
PersonX tries something he or she has never done before  xAttr  [GEN]	daring	no
PersonX is a professor of psychology  HinderedBy  [GEN]	PersonX is a nurse	yes
PersonX agrees to the contract  xIntent  [GEN]	to be a partner	yes
PersonX was disappointed in PersonY  xEffect  [GEN]	broke up with PersonY	yes
PersonX stops a bomb from going off  HinderedBy  [GEN]	PersonX can't see the bomb	yes
PersonX is about to go somewhere  xAttr  [GEN]	eager	no
PersonX introduces PersonY to the correct date  xReact  [GEN]	pleased	yes
PersonX sings in a band  xWant  [GEN]	to be a musician	yes
PersonX makes a bargain  xWant  [GEN]	to get paid	yes
PersonX does not want to drink  xEffect  [GEN]	does not drink	yes
PersonX takes things literally  xWant  [GEN]	to live life	yes
